пол,плутон,нептун,уран,сатурн,юпитер,годы в днях
F,25.35.4,15.47.6,2.17.2,11.26.12,20.51.9,26130
M,26.9.4,16.27.6,1.38.2,8.10.12,16.14.9,16627
M,25.32.4,15.42.6,2.24.2,11.50.12,21.17.9,24633
M,25.21.4,15.22.6,2.54.2,13.21.12,22.42.9,16797
M,27.25.4,15.17.6,9.33.2,21.39.12,14.39.9,8960
F,25.15.4,14.10.6,5.41.2,19.13.12,23.54.9,13298
M,26.10.4,14.10.6,8.22.2,22.22.12,18.22.9,24918
M,28.12.4,16.27.6,9.22.2,19.28.12,15.41.9,25453
M,28.25.4,16.54.6,9.5.2,18.31.12,16.53.9,21461
M,27.13.4,15.3.6,9.29.2,22.0.12,14.51.9,18783
M,28.3.4,16.11.6,9.29.2,20.1.12,15.11.9,8730
M,26.26.4,16.38.6,1.33.2,6.52.12,13.47.9,27459
M,25.32.4,15.42.6,2.24.2,11.49.12,21.17.9,13300
M,25.46.4,16.2.6,2.0.2,10.17.12,19.27.9,30158
M,28.42.4,17.42.6,8.20.2,16.58.12,20.0.9,27903
M,25.33.4,15.44.6,2.21.2,11.39.12,21.6.9,14648
M,25.36.4,13.59.6,7.7.2,21.14.12,21.38.9,25619
M,28.43.4,17.47.6,8.14.2,16.49.12,20.25.9,26229
M,27.19.4,15.9.6,9.31.2,21.51.12,14.44.9,26237
M,26.31.4,16.41.6,1.33.2,6.31.12,13.1.9,26011
M,28.28.4,18.55.6,6.13.2,16.4.12,1.3.10,17218
M,26.6.4,16.24.6,1.40.2,8.27.12,16.43.9,12633
M,26.0.4,14.5.6,8.3.2,22.10.12,19.17.9,23351
M,25.18.4,15.14.6,3.5.2,13.52.12,23.6.9,29192
M,25.50.4,16.7.6,1.54.2,9.54.12,18.55.9,29053
M,25.24.4,14.2.6,6.26.2,20.21.12,22.55.9,26010
F,25.9.4,14.31.6,4.33.2,17.11.12,24.26.9,21932
M,28.46.4,18.19.6,7.29.2,16.1.12,23.47.9,19138
M,28.43.4,18.34.6,7.3.2,15.49.12,25.55.9,20846
M,26.6.4,14.8.6,8.15.2,22.19.12,18.42.9,23949
M,28.44.4,17.52.6,8.8.2,16.41.12,20.51.9,28258
M,25.27.4,14.1.6,6.37.2,20.37.12,22.36.9,29470
M,25.10.4,14.38.6,4.17.2,16.39.12,24.22.9,21956
M,25.12.4,14.54.6,3.43.2,15.25.12,24.0.9,28525
